,index,context,question0,question1,question2,question3,answer0,answer1,answer2,answer3
10,10," ISPs provide Internet access, employing a range of technologies to connect users to their network. Available technologies have ranged from computer modems with acoustic couplers to telephone lines, to television cable (CATV), wireless Ethernet (wi-fi), and fiber optics.",What do ISPs provide?,how do isps provide internet access?,what is one type of technology used to connect to the internet? ,what type of technology is used to connect to the internet wirelessly? ,Internet access,a range of technologies to connect users to their network,television cable (CATV),wireless Ethernet (wi-fi)
11,11," In 1955, DC Sinclair and G Weddell developed peripheral pattern theory, based on a 1934 suggestion by John Paul Nafe. They proposed that all skin fiber endings (with the exception of those innervating hair cells) are identical, and that pain is produced by intense stimulation of these fibers. Another 20th-century theory was gate control theory, introduced by Ronald Melzack and Patrick Wall in the 1965 Science article ""Pain Mechanisms: A New Theory"". The authors proposed that both thin (pain) and large diameter (touch, pressure, vibration) nerve fibers carry information from the site of injury to two destinations in the dorsal horn of the spinal cord, and that the more large fiber activity relative to thin fiber activity at the inhibitory cell, the less pain is felt. Both peripheral pattern theory and gate control theory have been superseded by more modern theories of pain[citation needed].",What year was peripheral pattern theory developed? ,Whose suggestion prompted the development of peripheral pattern theory?,What did DC Sinclair and G Weddell propose a property of all skin fiber endings is?,What does the gate control theory specify the diameter of which is responsible for the amount of pain sensation?,1955,John Paul Nafe,identical,nerve fibers
12,12," In Methodism, Mary is honored as the Mother of God. Methodists do not have any additional teachings on the Virgin Mary except from what is mentioned in Scripture and the ecumenical Creeds. As such, Methodists believe that Mary was conceived in her womb through the Holy Ghost and accept the doctrine of the Virgin Birth, although they, along with Orthodox Christians and other Protestant Christians, reject the doctrine of the Immaculate Conception. John Wesley, the principal founder of the Methodist movement within the Church of England, believed that Mary ""continued a pure and unspotted virgin"", thus upholding the doctrine of the perpetual virginity of Mary. Contemporary Methodism does hold that Mary was a virgin before, during, and immediately after the birth of Christ. In addition, some Methodists also hold the doctrine of the Assumption of Mary as a pious opinion.",Which doctrine about Mary do Methodists reject?,Who was the founder of the Methodist movement?,What are the sources of beliefs about Mary held by Methodists?,The Methodist movement began in which church?,the Immaculate Conception,John Wesley,Scripture and the ecumenical Creeds,the Church of England
13,13," India: Due to concerns about pro-Tibet protests, the relay through New Delhi on April 17 was cut to just 2.3 km (less than 1.5 miles), which was shared amongst 70 runners. It concluded at the India Gate. The event was peaceful due to the public not being allowed at the relay. A total of five intended torchbearers -Kiran Bedi, Soha Ali Khan, Sachin Tendulkar, Bhaichung Bhutia and Sunil Gavaskar- withdrew from the event, citing ""personal reasons"", or, in Bhutia's case, explicitly wishing to ""stand by the people of Tibet and their struggle"" and protest against the PRC ""crackdown"" in Tibet. Indian national football captain, Baichung Bhutia refused to take part in the Indian leg of the torch relay, citing concerns over Tibet. Bhutia, who is Sikkimese, is the first athlete to refuse to run with the torch. Indian film star Aamir Khan states on his personal blog that the ""Olympic Games do not belong to China"" and confirms taking part in the torch relay ""with a prayer in his heart for the people of Tibet, and ... for all people across the world who are victims of human rights violations"". Rahul Gandhi, son of the Congress President Sonia Gandhi and scion of the Nehru-Gandhi family, also refused to carry the torch.",When did the torch visit New Delhi?,How many runners carried the torch in New Delhi?,Which football captain did not participate in the relay to show support for Tibet?,How many torchbearers did not participate because of their concerns with Tibet?,17-Apr,70,Baichung Bhutia,five
14,14," Indonesia: The Olympic flame reached Jakarta on April 22. The original 20 km relay through Jakarta was cancelled due to ""security worries"", at the request of the Chinese embassy, and the torch was instead carried round the city main's stadium, as it had been in Islamabad. Several dozen pro-Tibet protesters gathered near the stadium, and were dispersed by the police. The event was held in the streets around the city main's stadium. The cancelling of the relay through the city itself was decided due to security concerns and at the request of the Chinese embassy. Only invitees and journalists were admitted inside the stadium. Protests took place outside the stadium.",When did the Olympic torch visit Jakarta?,Who requested that the original route be cancelled?,"Along with invited people, who were the only other people allowed in the stadium?",Where did the torch relay begin in Indonesia?,22-Apr,the Chinese embassy,journalists,Jakarta
15,15," Japan: The event was held in Nagano, which hosted the 1998 Winter Olympics, on April 26. Japanese Buddhist temple ZenkÅ-ji, which was originally scheduled to be the starting point for the Olympic torch relay in Nagano, refused to host the torch and pulled out of the relay plans, amid speculation that monks there sympathized with anti-Chinese government protesters. as well as the risk of disruption by violent protests. Parts of ZenkÅ-ji temple's main building (ZenkÅ-ji HondÅ), reconstructed in 1707 and one of the National Treasures of Japan, was then vandalized with spraypaint. A new starting point, previously the site of a municipal building and now a parking lot, was chosen by the city. An event the city had planned to hold at the Minami Nagano Sports Park following the torch relay was also canceled out of concern about disruptions caused by demonstrators protesting against China's recent crackdown in Tibet. Thousands of riot police were mobilized to protect the torch along its route. The show of force kept most protesters in check, but slogans shouted by pro-China or pro-Tibet demonstrators, Japanese nationalists, and human rights organizations flooded the air. Five men were arrested and four injured amidst scenes of mob violence. The torch route was packed with mostly peaceful demonstrators. The public was not allowed at the parking lot where the relay started. After the Zenkoji monks held a prayer ceremony for victims of the recent events in Tibet. More than 100 police officers ran with the torch and riot police lined the streets while three helicopters flew above. Only two Chinese guards were allowed to accompany the torch because of Japan's concern over their treatment of demonstrators at previous relays. A man with a Tibetan flag tried to stop the torch at the beginning of the relay but was dragged off by police. Some raw eggs were also thrown from the crowd.",Who hosted the 1998 Winter Olympics?,When did the torch arrive in Nagano?,Where was the torch relay held in Japan?,Which Olympics did Nagano host?,Nagano,26-Apr,Nagano,1998 Winter Olympics
16,16," Kazakhstan: The first torchbearer in Almaty, where the Olympic torch arrived for the first time ever on April 2, was the President of Kazakhstan Nursultan Nazarbaev. The route ran 20 km from Medeo stadium to Astana Square. There were reports that Uighur activists were arrested and some were deported back to China.",What virgin site did the torch visit on April 2?,Who was the first person to be handed the torch in Almaty?,Who is Nursultan Nazarbaev?,The route in Almaty went from Medeo Stadium to where?,Almaty,Nursultan Nazarbaev.,the President of Kazakhstan,Astana Square.
17,17," Macao: The event was held in Macau on May 3. It was the first time that the Olympic torch had traveled to Macau. A ceremony was held at Macau Fisherman's Wharf. Afterward, the torch traveled through Macau, passing by a number of landmarks including A-Ma Temple, Macau Tower, Ponte Governador Nobre de Carvalho, Ponte de Sai Van, Macau Cultural Centre, Macau Stadium and then back to the Fisherman's Wharf for the closing ceremony. Parts of the route near Ruins of St. Paul's and Taipa was shortened due to large crowds of supporters blocking narrow streets. A total of 120 torchbearers participated in this event including casino tycoon Stanley Ho. Leong Hong Man and Leong Heng Teng were the first and last torchbearer in the relay respectively. An article published on Macao Daily News criticized that the list of the torchbearers could not fully represent the Macanese and that there were too many non-athletes among the torchbearers. (some of whom had already been torchbearers of other sporting events)",When did the torch visit Macao?,Where was the torch ceremony held in Macao?,How many torchbearers participated in Macao?,Who was the first torchbearer in Macao?,3-May,Macau Fisherman's Wharf,120,Leong Hong Man
18,18," Malaysia: The event was held in the capital city, Kuala Lumpur, on April 21. The 16.5 km long-relay began from the historic Independence Square, passed in front of several city landmarks before coming to an end at the iconic Petronas Twin Towers. Among the landmarks the Olympic flame passed next to were the Parliament House, National Mosque, KL Tower and Merdeka Stadium. A team of 1000 personnel from the Malaysian police Special Action Squad guarded the event and escorted the torchbearers. The last time an Olympic torch relay was held in Malaysia was the 1964 Tokyo edition.",When did the torch visit Malaysia?,What is the capital city of Malaysia?,Where did the route begin in Malaysia?,"Prior to the 2008 games, when did Malaysia last see an Olympic torch relay?",21-Apr,Kuala Lumpur,Independence Square,1964
19,19," North Korea: The event was held in Pyongyang on April 28. It was the first time that the Olympic torch has traveled to North Korea. A crowd of thousands waving pink paper flowers and small flags with the Beijing Olympics logo were organized by the authoritarian regime watched the beginning of the relay in Pyongyang, some waving Chinese flags. The event was presided over by the head of the country's parliament, Kim Yong Nam. The North, an ally of China, has been critical of disruptions to the torch relay elsewhere and has supported Beijing in its actions against protests in Tibet. Kim passed the torch to the first runner Pak Du Ik, who played on North Korea's 1966 World Cup soccer team, as he began the 19-kilometre route through Pyongyang. The relay began from the large sculpted flame of the obelisk of the Juche Tower, which commemorates the national ideology of Juche, or ""self-reliance"", created by the country's late founding President Kim Il Sung, father of leader Kim Jong Il, who did not attend.",When did the torch arrive in Pyongyang?,Who presided over the torch event in North Korea?,Who was the first torchbearer in North Korea?,Where did the relay start?,28-Apr,Kim Yong Nam,Pak Du Ik,the Juche Tower
20,20," Pakistan: The Olympic torch reached Islamabad for the first time ever on April 16. President Pervez Musharraf and Prime Minister Yousaf Raza Gillani spoke at the opening ceremony of the relay. Security was high, for what one newspaper called the ""most sensitive leg"" of the torch's Olympic journey. The relay was initially supposed to carry the torch around Islamabad, but the entire relay was cancelled due to security concerns regarding ""militant threats or anti-China protests"", and replaced by an indoors ceremony with the torch carried around the track of Jinnah Stadium. In fear of violent protests and bomb attacks, the torch relay in Pakistan took place in a stadium behind closed doors. Although the relay was behind closed doors, thousands of policemen and soldiers guarded the flame. As a consequence, no incidents arose.",When did the torch arrive in Islamabad?,Where was an indoor ceremony held since the outdoor relay was cancelled?,Who spoke at the opening ceremony in Islamabad in addition to President Musharraf?,Where did the Olympic torch relay start in Pakistan?,16-Apr,Jinnah Stadium,Prime Minister Yousaf Raza Gillani,Islamabad
21,21," Russia: On April 5 the Olympic torch arrived at Saint Petersburg, Russia. The length of the torch relay route in the city was 20 km, with the start at the Victory Square and finish at the Palace Square. Mixed martial arts icon and former PRIDE Heavyweight Champion Fedor Emelianenko was one the torch bearers. This gives him the distinction of the being the first active MMA fighter to carry the Olympic flame.",When did the torch arrive in Saint Petersburg?,Where was the start of the torch route in Saint Petersburg?,Where did the torch route end in Saint Petersburg?,Who is the first MMA fighter to participate in carrying the Olympic torch?,5-Apr,Victory Square,Palace Square,Fedor Emelianenko
22,22," South Korea: The event was held in Seoul, which hosted the 1988 Summer Olympics, on April 27. Intended torchbearers Choi Seung-kook and Park Won-sun boycotted the event to protest against the Chinese government's crackdown in Tibet. More than 8,000 riot police were deployed to guard the 24-kilometre route, which began at Olympic Park, which was built when Seoul hosted the 1988 Summer Games. On the day of the torch relay in Seoul, Chinese students clashed with protesters, throwing rocks, bottles, and punches. A North Korean defector whose brother defected to China but was captured and executed by the DPRK, attempted to set himself on fire in protest of China's treatment of North Korean refugees. He poured gasoline on himself but police quickly surrounded him and carried him away. Two other demonstrators tried to storm the torch but failed. Fighting broke out near the beginning of the relay between a group of 500 Chinese supporters and approximately 50 protesters who carried a banner that read: ""Free North Korean refugees in China."" The students threw stones and water bottles as approximately 2,500 police tried to keep the groups separated. Police said they arrested five people, including a Chinese student who was arrested for allegedly throwing rocks. Thousands of Chinese followed the torch on its 4.5 hour journey, some chanting, ""Go China, go Olympics!"" By the end of the relay, Chinese students became violent, and it was reported in Korean media that they were ""lynching"" everyone who was disagreeing with them. One police man was also rushed to hospital after being attacked by Chinese students. On Apr 29, the Secretary of Justice, Kim Kyung Han, told the prime minister that he will find ""every single Chinese who was involved and bring them to justice."" Later in the day, South Korea's Prosecutor's Office, National Police Agency, Ministry of Foreign Affairs and National Intelligence Service made a joint statement saying that they will be deporting every Chinese student that was involved in the incident. China defended the conduct of the students.",Where was the torch relay event held in South Korea?,When did Seoul host the Olympics?,Where was the start point for the relay?,Who became violent during the relay route and was promised deportation when caught?,Seoul,1988 Summer Olympics,Olympic Park,Chinese students
23,23," Sultanate of Oman: Muscat was the torch's only stop in the Middle East, on April 14. The relay covered 20 km. No protests or incidents were reported. One of the torchbearers was Syrian actress Sulaf Fawakherji.",Which Middle East location was the only area the torch visited?,When did the torch arrive in Muscat?,Which actress carried the torch for part of the route?,Where was the only place the Olympic torch was carried in the Middle East?,Muscat,14-Apr,Sulaf Fawakherji,Muscat
24,24," Tanzania: Dar es Salaam was the torch's only stop in Africa, on April 13. The relay began at the grand terminal of the TAZARA Railway, which was China's largest foreign aid project of the 1970s, and continued for 5 km through the old city to the Benjamin Mkapa National Stadium in Temeke, which was built with Chinese aid in 2005. The torch was lit by Vice-President Ali Mohamed Shein. About a thousand people followed the relay, waving the Olympic flag. The only noted instance of protest was Nobel Peace Prize laureate Wangari Maathai's withdrawal from the list of torchbearers, in protest against human rights abuses in Tibet.",Where was the only African destination for the torch?,When did the torch arrive in Dar es Salaam?,Where did the route start for the torch in Dar es Salaam?,Where was the solitary place the relay was held in Africa?,Dar es Salaam,13-Apr,the TAZARA Railway,Dar es Salaam
25,25," Thailand: The April 18 relay through Bangkok was the Olympic flame's first visit to Thailand. The relay covered just over 10 km, and included Bangkok's Chinatown. The torch was carried past Democracy Monument, Chitralada Palace and a number of other city landmarks. M.R. Narisa Chakrabongse, Green World Foundation (GWF) chairwoman, withdrew from the torch-running ceremony, protesting against China's actions in Tibet. Several hundred protesters were present, along with Olympic supporters. Thai authorities threatened to arrest foreign protesters and ban them from future entry into Thailand. A coalition of Thai human rights groups announced that it would organise a ""small demonstration"" during the relay, and several hundred people did indeed take part in protests, facing Beijing supporters. Intended torchbearer Mom Rajawongse Narissara Chakrabongse boycotted the relay, to protest against China's actions in Tibet. In Bangkok, students told the media that the Chinese Embassy provided them with transportation and gave them shirts to wear.",When did the Olympic torch reach Bangkok?,Who is the Green World Foundation chairwoman who refused to participate in the relay?,The media was told that the Chinese supplied with shirts and transportation?,When did the torch go through Bankok?,18-Apr,M.R. Narisa Chakrabongse,students,18-Apr
26,26," The English name Switzerland is a compound containing Switzer, an obsolete term for the Swiss, which was in use during the 16th to 19th centuries. The English adjective Swiss is a loan from French Suisse, also in use since the 16th century. The name Switzer is from the Alemannic Schwiizer, in origin an inhabitant of Schwyz and its associated territory, one of the WaldstÃ¤tten cantons which formed the nucleus of the Old Swiss Confederacy. The name originates as an exonym, applied pars pro toto to the troops of the Confederacy. The Swiss began to adopt the name for themselves after the Swabian War of 1499, used alongside the term for ""Confederates"", Eidgenossen (literally: comrades by oath), used since the 14th century.",What was the Swiss term for Switzerland during the 16th - 19th centuries?,Where did the English adjective Swiss originate from?,Where did the name Switzer originate from?,What did the Alemannic Schwiizer help form the nucleus of?,Switzer,French Suisse,the Alemannic Schwiizer,the Old Swiss Confederacy
27,27," The exta were the entrails of a sacrificed animal, comprising in Cicero's enumeration the gall bladder (fel), liver (iecur), heart (cor), and lungs (pulmones). The exta were exposed for litatio (divine approval) as part of Roman liturgy, but were ""read"" in the context of the disciplina Etrusca. As a product of Roman sacrifice, the exta and blood are reserved for the gods, while the meat (viscera) is shared among human beings in a communal meal. The exta of bovine victims were usually stewed in a pot (olla or aula), while those of sheep or pigs were grilled on skewers. When the deity's portion was cooked, it was sprinkled with mola salsa (ritually prepared salted flour) and wine, then placed in the fire on the altar for the offering; the technical verb for this action was porricere.",What were the exta of a sacrifice?,How were the exta read in Roman religious practice?,What part of the sacrifice were reserved for the gods?,What part of the sacrifice was shared among humans?,entrails,disciplina Etrusca,exta and blood,meat
28,28," The strength of beers has climbed during the later years of the 20th century. Vetter 33, a 10.5% abv (33 degrees Plato, hence Vetter ""33"") doppelbock, was listed in the 1994 Guinness Book of World Records as the strongest beer at that time, though Samichlaus, by the Swiss brewer HÃ¼rlimann, had also been listed by the Guinness Book of World Records as the strongest at 14% abv. Since then, some brewers have used champagne yeasts to increase the alcohol content of their beers. Samuel Adams reached 20% abv with Millennium, and then surpassed that amount to 25.6% abv with Utopias. The strongest beer brewed in Britain was Baz's Super Brew by Parish Brewery, a 23% abv beer. In September 2011, the Scottish brewery BrewDog produced Ghost Deer, which, at 28%, they claim to be the world's strongest beer produced by fermentation alone.",How much alcohol is contained in the beer Vetter 33?,What was the strongest beer in 1994 according to the Guinness Book of World Records?,What brewing company produced the beer Millennium?,What year did the brewing company BrewDog start producing a beer called Ghost Deer?,10.50%,Vetter 33,Samuel Adams,2011
29,29," Turkey: The torch relay leg in Istanbul, held on April 3, started on Sultanahmet Square and finished in Taksim Square. Uyghurs living in Turkey protested at Chinese treatment of their compatriots living in Xinjiang. Several protesters who tried to disrupt the relay were promptly arrested by the police.",When was the torch in Istanbul?,Where did the torch end up in Istanbul?,Where did the torch start in Instanbul?,Who protested for their compatriots who were in Xinjiang?,3-Apr,Taksim Square,Sultanahmet Square,Uyghurs living in Turkey
30,30," United States of America: The torch relay's North American leg occurred in San Francisco, California on April 9. On the day of the relay officials diverted the torch run to an unannounced route. The start was at McCovey Cove, where Norman Bellingham of the U.S. Olympic Committee gave the torch to the first torchbearer, Chinese 1992 Olympic champion swimmer Lin Li. The planned closing ceremony at Justin Herman Plaza was cancelled and instead, a ceremony was held at San Francisco International Airport, where the torch was to leave for Buenos Aires. The route changes allowed the run to avoid large numbers of China supporters and protesters against China. As people found out there would be no closing ceremony at Justin Herman Plaza, there were angry reactions. One demonstrator was quoted as saying that the route changes were an effort to ""thwart any organized protest that had been planned."" San Francisco Board of Supervisors President Aaron Peskin, a critic of Mayor Gavin Newsom, said that it was a ""cynical plan to please the Bush State Department and the Chinese government because of the incredible influence of money."" Newsom, on the other hand, said he felt it was in ""everyone's best interest"" and that he believed people had been ""afforded the right to protest and support the torch"" despite the route changes. Peter Ueberroth, head of the U.S. Olympic Committee, praised the route changes, saying, ""The city of San Francisco, from a global perspective, will be applauded."" People who saw the torch were surprised and cheered as shown from live video of CBS and NBC. The cost to the city for hosting the event was reported to be USD $726,400, nearly half of which has been recovered by private fundraising. Mayor Gavin Newsom said that ""exponential"" costs associated with mass arrests were avoided by his decision to change the route in consultation with police chief Heather Fong.",Where did the torch start it's North American route?,What day did the torch arrive in San Francisco?,What is the name of the first North American torchbearer?,The route end was changed from Justin Herman plaza to what?,San Francisco,9-Apr,Lin Li,San Francisco International Airport
